session;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;fili;form_lib_voe_acc;regr_forma;fil_lib_voe_acc;detail_forma;lien_form_psup;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;rang_der_max;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;tri
2018;0692437Z;Université Jean Moulin Lyon 3;69;Rhône;Auvergne-Rhône-Alpes;Lyon;Licence;Licence - Arts-lettres-langues;;Langues étrangères appliquées;Double Licence Langues Etrangères Appliquées Anglais-Russe et Gestion  Management et sciences humaines (MSH);https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=8524&g_ta_cod=8524;45.747546, 4.8594;11;50;34;41;;27;4;1;0;3;2;10;9;3;0;2;4;40;8;;;27;4;1;0;3;2;9;39;38;11;8;7;4;;4;8;6;0;2;3;0;4;1;2;1;3;0;1;;;3;3;72.7;37.5;37.5;;36.4;72.7;0.0;50.0;12.5;25.0;12.5;75.0;37.5;0.0;0.0;25.0;12.5;1_universités
2018;0921204J;Université Paris Nanterre;92;Hauts-de-Seine;Ile-de-France;Versailles;Licence;Licence - Droit-économie-gestion;;Droit français - Droit étranger;Droit français - droit italien;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=11077&g_ta_cod=11077;48.892805, 2.214636;37;137;97;137;;105;18;6;1;2;1;24;0;0;0;0;0;137;0;;;105;18;6;1;2;1;24;101;131;36;25;36;0;;4;31;30;0;1;5;0;10;11;6;4;20;0;1;;;7;20;69.4;22.6;64.5;;11.1;86.1;0.0;32.3;35.5;19.4;12.9;96.8;64.5;0.0;0.0;3.2;3.2;1_universités
2018;0450855K;Université d'Orléans;45;Loiret;Centre-Val de Loire;Orléans-Tours;Licence;Licence - Sciences - technologies - santé;;Physique;Portail 2 - Mathématiques-Physique-Chimie;;;125;172;45;142;;113;11;6;1;0;0;23;30;10;1;0;19;140;19;;;113;11;6;1;0;0;21;159;140;11;2;9;2;;0;8;8;0;0;3;0;1;2;4;1;7;0;0;;;7;7;18.2;87.5;87.5;;0.0;72.7;0.0;12.5;25.0;50.0;12.5;100.0;87.5;0.0;0.0;0.0;0.0;1_universités
2018;0381516T;IUT 1 GRENOBLE - ENEPS;38;Isère;Auvergne-Rhône-Alpes;Grenoble;DUT;DUT - Production;;Réseaux et télécommunications;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=4974&g_ta_cod=4974;45.1651, 5.7677;24;118;4;104;;0;0;0;0;96;27;8;14;0;0;8;6;48;0;;;0;0;0;0;48;7;0;47;47;19;0;19;0;;3;19;0;0;19;0;0;1;7;8;3;0;0;18;;;10;10;0.0;52.6;52.6;;15.8;100.0;0.0;5.3;36.8;42.1;15.8;0.0;0.0;0.0;0.0;100.0;94.7;1_universités
2018;0931002J;I.U.T de Saint-Denis - Université Paris 13;93;Seine-Saint-Denis;Ile-de-France;Créteil;DUT;DUT - Production;;Mesures physiques;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=11224&g_ta_cod=11224;48.939124, 2.3553706;65;798;161;704;;499;91;91;32;1;0;113;91;19;23;0;49;494;29;;;387;62;43;13;0;0;64;414;;51;11;36;12;;8;33;30;3;0;18;0;14;14;4;1;17;2;0;;;19;33;21.6;57.6;100.0;;15.7;64.7;0.0;42.4;42.4;12.1;3.0;90.9;51.5;9.1;6.1;0.0;0.0;1_universités
2018;0132123M;Aix Marseille Université - site d'Aix-en-Provence;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;Licence;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;Japonais;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=2745&g_ta_cod=2745;43.4912, 5.3333;78;340;218;340;;203;52;22;7;19;3;96;0;0;0;0;0;339;0;;;203;52;22;7;19;3;95;232;338;75;41;75;0;;15;52;43;5;4;23;0;31;16;4;1;17;2;2;;;29;29;54.7;55.8;55.8;;20.0;69.3;0.0;59.6;30.8;7.7;1.9;82.7;32.7;9.6;3.8;7.7;3.8;1_universités
2018;0623957P;Université d'Artois - Site d'Arras;62;Pas-de-Calais;Hauts-de-France;Lille;Licence;Licence - Arts-lettres-langues;;Langues étrangères appliquées;Anglais/Chinois - LEA;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=7507&g_ta_cod=7507;50.2836, 2.7928;44;206;135;206;;150;38;17;5;8;1;31;0;0;0;0;0;206;0;;;150;38;17;5;8;1;31;140;200;41;27;41;0;;11;34;28;5;1;7;0;17;11;5;1;13;3;1;;;34;34;65.8;100.0;100.0;;26.8;82.9;0.0;50.0;32.4;14.7;2.9;82.3;38.2;14.7;8.8;2.9;2.9;1_universités
2018;0870669E;Université de Limoges;87;Haute-Vienne;Nouvelle-Aquitaine;Limoges;Licence;Licence - Sciences - technologies - santé;;Sciences et Techniques des Activités Physiques et Sportives;PORTAIL STAPS Limoges;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=10704&g_ta_cod=10704;45.836, 1.2615794;170;1219;305;1218;;896;124;114;21;23;6;185;0;0;0;0;0;1216;0;;;896;124;114;21;23;6;183;406;917;168;47;167;0;;19;131;111;18;2;37;0;88;36;6;1;33;9;1;;;115;115;28.0;87.8;87.8;;11.3;78.0;0.0;67.2;27.5;4.6;0.8;84.7;25.2;13.7;6.9;1.5;0.8;1_universités
2018;identifiant obsolète;Universite de Lille - Campus cité scientifique - Villeneuve d'Ascq;59;Nord;Hauts-de-France;Lille;Licence;Licence - Sciences - technologies - santé;;Sciences de la vie;Parcours aménagé bacheliers technologiques sciences de la vie, de la Terre et de l'environnement (SVTE);https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=16549&g_ta_cod=16549;50.631519, 3.0742418;40;382;259;197;;45;8;100;27;1;0;51;185;23;49;4;109;64;47;;;0;0;58;13;0;0;6;115;;39;25;17;22;;5;27;1;26;0;12;0;6;10;9;2;0;21;0;;;25;25;64.1;92.6;92.6;;12.8;69.2;0.0;22.2;37.0;33.3;7.4;3.7;0.0;96.3;77.8;0.0;0.0;1_universités
2018;0911975C;Université d'Evry Val d'Essonne;91;Essonne;Ile-de-France;Versailles;Licence;Licence - Sciences - technologies - santé;;Sciences et Techniques des Activités Physiques et Sportives;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=10951&g_ta_cod=10951;48.6241, 2.4276196;170;2245;565;2244;;1316;140;354;61;86;19;488;0;0;0;0;0;2244;0;;;1316;140;354;61;86;19;488;1020;1697;178;52;177;0;;18;144;109;33;2;34;0;108;28;8;0;21;14;1;;;106;136;29.2;73.6;94.4;;10.1;80.9;0.0;75.0;19.4;5.6;0.0;75.7;14.6;22.9;9.7;1.4;0.7;1_universités
2018;0772519V;Université Paris- Est- Créteil Val de Marne UPEC - Antenne de Sénart;77;Seine-et-Marne;Ile-de-France;Créteil;Licence;Licence - Sciences humaines et sociales;;Sciences et Techniques des Activités Physiques et Sportives;STAPS - site de Sénart;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=9937&g_ta_cod=9937;48.627, 2.5629;95;1471;394;1470;;872;107;212;28;52;10;334;0;0;0;0;0;1470;0;;;872;107;212;28;52;10;334;623;786;101;25;100;0;;8;87;71;12;4;14;1;57;24;4;1;19;7;3;;;71;85;24.8;81.6;97.7;;7.9;86.1;1.1;65.5;27.6;4.6;1.1;81.6;21.8;13.8;8.0;4.6;3.4;1_universités
2018;0440139M;I.U.T. Nantes;44;Loire-Atlantique;Pays de la Loire;Nantes;DUT;DUT - Production;;Génie mécanique et productique;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=5480&g_ta_cod=5480;47.2979, -1.5019598;104;2028;152;2026;;1289;82;470;52;8;1;259;2;1;0;0;1;824;0;;;519;27;138;8;3;1;164;521;;111;8;111;0;;8;91;66;25;0;20;0;14;32;30;15;53;24;0;;;79;79;7.2;86.8;86.8;;7.2;82.0;0.0;15.4;35.2;33.0;16.5;72.5;58.2;27.5;26.4;0.0;0.0;1_universités
2018;0450855K;Université d'Orléans;45;Loiret;Centre-Val de Loire;Orléans-Tours;Licence;Licence - Sciences - technologies - santé;;Sciences de la vie;Portail n° 12 - Sciences de la vie-Sciences de la terre-Informatique;;;420;254;135;133;;85;16;18;5;1;0;29;121;38;16;3;64;133;91;;;85;16;18;5;1;0;29;224;133;39;24;24;15;;6;25;12;13;0;14;0;18;6;0;1;1;6;0;;;20;20;61.5;80.0;80.0;;15.4;64.1;0.0;72.0;24.0;0.0;4.0;48.0;4.0;52.0;24.0;0.0;0.0;1_universités
2018;0130051K;Lycée Marie Curie;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;BTS;BTS - Services;;Analyses de biologie médicale;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=2586&g_ta_cod=2586;43.2937, 5.4001402;48;1026;772;1026;;309;109;379;114;64;39;274;0;0;0;0;0;649;0;;;266;99;250;61;2;1;131;220;;47;42;47;0;;10;34;13;19;2;13;0;13;16;4;1;4;15;2;11;10;30;30;89.4;88.2;88.2;32.4;21.3;72.3;0.0;38.2;47.1;11.8;2.9;38.2;11.8;55.9;44.1;5.9;5.9;2_Lycées
2018;0750686N;Lycée Estienne Esaig;75;Paris;Ile-de-France;Paris;BTS;BTS - Services;;Edition;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=9086&g_ta_cod=9086;48.831, 2.3524;30;660;525;660;;247;51;81;16;96;27;236;0;0;0;0;0;147;0;;;36;5;16;4;48;11;47;79;;30;24;30;0;;2;18;8;5;5;12;0;7;5;3;3;5;3;3;0;0;2;11;80.0;11.1;61.1;0.0;6.7;60.0;0.0;38.9;27.8;16.7;16.7;44.4;27.8;27.8;16.7;27.8;16.7;2_Lycées
2018;0540042C;Lycée Henri Loritz;54;Meurthe-et-Moselle;Grand Est;Nancy-Metz;BTS;BTS - Production;;Design de produits;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=6266&g_ta_cod=6266;48.689943, 6.1926939;15;195;106;195;;0;0;96;19;14;2;85;0;0;0;0;0;152;0;;;0;0;62;11;11;1;79;85;;15;6;15;0;;0;9;0;8;1;6;0;3;5;1;0;0;5;1;0;0;5;5;40.0;55.6;55.6;0.0;0.0;60.0;0.0;33.3;55.6;11.1;0.0;0.0;0.0;88.9;55.6;11.1;11.1;2_Lycées
2018;0560025Y;Lycée Dupuy De Lôme;56;Morbihan;Bretagne;Rennes;BTS;BTS - Services;;Comptabilité et gestion;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=6424&g_ta_cod=6424;47.7481, -3.3704;35;421;200;421;;80;13;147;35;86;30;108;0;0;0;0;0;282;0;;;70;11;131;23;56;15;25;125;;31;17;31;0;;9;26;5;12;9;5;1;15;8;2;0;0;4;6;0;0;26;26;54.8;100.0;100.0;0.0;29.0;83.9;3.8;57.7;30.8;7.7;0.0;19.2;0.0;46.1;15.4;34.6;23.1;2_Lycées
2018;0690521S;Lycée Sainte - Marie Lyon;69;Rhône;Auvergne-Rhône-Alpes;Lyon;BTS;BTS - Services;;Comptabilité et gestion;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=8290&g_ta_cod=8290;45.7657, 4.8267;40;350;153;260;;141;7;57;4;15;2;47;90;18;17;20;35;155;13;;;108;2;33;2;6;1;8;125;155;38;12;32;6;;0;34;22;12;0;4;0;8;20;6;0;14;12;0;12;5;26;26;31.6;76.5;76.5;35.3;0.0;89.5;0.0;23.5;58.8;17.6;0.0;64.7;41.2;35.3;35.3;0.0;0.0;2_Lycées
2018;0692717D;Lycée Jacques Brel;69;Rhône;Auvergne-Rhône-Alpes;Lyon;BTS;BTS - Services;;Négociation et digitalisation de la Relation Client;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=8544&g_ta_cod=8544;45.6949, 4.8803;30;1145;609;1134;;78;28;476;134;338;134;242;11;0;0;1;10;418;0;;;35;14;195;40;177;69;11;182;;29;20;29;0;;11;28;2;14;12;1;0;17;10;1;0;0;3;8;2;1;21;21;69.0;75.0;75.0;7.1;37.9;96.5;0.0;60.7;35.7;3.6;0.0;7.1;0.0;50.0;10.7;42.9;28.6;2_Lycées
2018;0772230F;Lycée Blaise Pascal;77;Seine-et-Marne;Ile-de-France;Créteil;BTS;BTS - Services;;Management des unités commerciales;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=9880&g_ta_cod=9880;48.6986, 2.596;35;675;283;674;;84;11;234;50;196;52;160;0;0;0;0;0;372;0;;;61;8;124;28;145;41;42;124;;33;16;32;0;;3;24;2;11;11;9;0;10;14;0;0;0;7;7;14;7;23;24;48.5;95.8;100.0;58.3;9.1;72.7;0.0;41.7;58.3;0.0;0.0;8.3;0.0;45.8;29.2;45.8;29.2;2_Lycées
2018;0920170K;Lycée professionnel Florian;92;Hauts-de-Seine;Ile-de-France;Versailles;BTS;BTS - Services;;Métiers de l'esthétique-cosmétique-parfumerie;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=19764&g_ta_cod=19764;48.7815, 2.3034;14;482;468;408;;62;11;144;29;122;30;80;74;8;23;13;30;135;10;;;18;3;18;2;85;20;14;84;;10;10;7;3;;0;3;1;0;2;7;0;1;2;0;0;0;0;2;2;2;3;3;100.0;100.0;100.0;66.7;0.0;30.0;0.0;33.3;66.7;0.0;0.0;33.3;0.0;0.0;0.0;66.7;66.7;2_Lycées
2018;0740006E;Lycée Louis Lachenal;74;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;BTS;BTS - Production;;Développement et Réalisation Bois;;https://dossier.parcoursup.fr/Candidat/candidature.ajoutCarte?ACTION=2&g_ti_cod=8860&g_ta_cod=8860;45.9382, 6.1333598;15;184;9;183;;27;3;75;8;58;8;23;1;0;0;1;0;153;0;;;22;2;69;8;50;6;12;71;;9;0;9;0;;2;9;2;2;5;0;0;2;5;2;0;1;1;5;3;0;9;9;0.0;100.0;100.0;33.3;22.2;100.0;0.0;22.2;55.6;22.2;0.0;22.2;11.1;22.2;11.1;55.6;55.6;2_Lycées
