session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;select_form;fili;lib_comp_voe_ins;form_lib_voe_acc;regr_forma;fil_lib_voe_acc;detail_forma;lien_form_psup;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;prop_tot_bg;prop_tot_bg_brs;prop_tot_bt;prop_tot_bt_brs;prop_tot_bp;prop_tot_bp_brs;prop_tot_at;lib_grp1;ran_grp1;lib_grp2;ran_grp2;lib_grp3;ran_grp3;lib_grp4;ran_grp4;lib_grp5;ran_grp5;taux_adm_psup;taux_adm_psup_pro;taux_adm_psup_gen;taux_adm_psup_techno;tri;cod_aff_form
2020;Public;0031121C;Université Clermont Auvergne - Antenne de Vichy - UFR STAPS;03;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;formation non selec;Licence;Université Clermont Auvergne - Antenne de Vichy - UFR STAPS - Licence - Sciences et Techniques des Activités Physiques et Sportives - Passerelle Kiné;Licence - Sciences - technologies - santé;;Sciences et Techniques des Activités Physiques et Sportives;Passerelle Kiné;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=23471&g_ta_cod=23471;46.1196, 3.42528;45;973;524;973;;747;72;47;7;3;1;176;0;0;0;0;0;973;0;;;747;72;47;7;3;1;176;83;45;23;45;0;23.0;44.0;45.0;;3;45;45;0;0;0;0;0;9;25;11;45;0;0;;;43;43;51.11;97.78;100.0;51.11;95.56;95.56;;6.67;100.0;0.0;0.0;20.0;55.55555555555556;24.444444444444443;100.0;100.0;0.0;0.0;0.0;0.0;83.0;9.0;0.0;0.0;0.0;0.0;0.0;Tous les candidats;90.0;;;;;;;;;9.0;0.0;100.0;0.0;1_universités;23471
2020;Public;0460697H;I.U.T de Figeac;46;Lot;Occitanie;Toulouse;formation selective;DUT;I.U.T de Figeac - DUT - Génie mécanique et productique;DUT - Production;;Génie mécanique et productique;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=5756&g_ta_cod=5756;44.6133, 2.01054;45;824;71;824;;463;45;263;40;8;1;90;0;0;0;0;0;652;0;;;385;34;198;26;4;1;65;200;48;3;48;0;26.0;39.0;47.0;;6;44;23;21;0;4;0;10;25;7;2;17;17;0;;;33;33;54.17;81.25;97.92;6.25;75.0;75.0;;13.64;91.67;0.0;22.727272727272727;56.81818181818182;15.909090909090908;4.545454545454546;52.27272727272727;38.64;47.72727272727273;38.64;0.0;0.0;102.0;12.0;76.0;9.0;0.0;0.0;22.0;Tous les candidats sauf les Bac technologiques;197.0;Bacheliers technologiques toutes séries;134;;;;;;;40.0;0.0;52.0;48.0;1_universités;5756
2020;Public;0542493S;Université de Lorraine - Site de Nancy;54;Meurthe-et-Moselle;Grand Est;Nancy-Metz;formation non selec;Licence;Université de Lorraine - Site de Nancy - Licence - Langues étrangères appliquées - Anglais - Allemand;Licence - Arts-lettres-langues;;Langues étrangères appliquées;Anglais - Allemand;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=6354&g_ta_cod=6354;48.6959, 6.17667;110;604;442;467;;328;72;47;17;11;5;81;137;21;18;7;91;467;122;;;328;72;47;17;11;5;81;494;95;64;62;33;7.0;61.0;79.0;;20;59;48;9;2;36;0;29;21;8;1;28;1;1;;;55;55;7.37;64.21;83.16;67.37;93.22;93.22;;33.9;62.11;0.0;49.152542372881356;35.59322033898305;13.559322033898304;1.694915254237288;81.35593220338984;47.46;15.254237288135593;1.69;3.389830508474576;1.69;286.0;61.0;50.0;22.0;14.0;10.0;144.0;Tous les candidats;467.0;;;;;;;;;100.0;7.0;78.0;15.0;1_universités;6354
2020;Public;0632035V;Université Clermont Auvergne;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;formation selective;Licence;Université Clermont Auvergne - Licence - Portail Economie ou Gestion parcours Langues Vivantes;Licence - Droit-économie-gestion;;Economie;Economie ou Gestion parcours Langues Vivantes;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=27507&g_ta_cod=27507;45.7693, 3.09355;60;585;326;217;;158;26;11;4;2;2;46;368;73;40;31;224;182;38;;;152;25;1;0;0;0;29;191;56;29;38;18;10.0;38.0;50.0;;5;42;41;1;0;14;0;8;13;15;6;33;1;0;;;34;34;17.86;67.86;89.29;51.79;80.95;80.95;;11.9;75.0;0.0;19.047619047619047;30.952380952380953;35.714285714285715;14.285714285714285;97.61904761904762;78.57;2.380952380952381;2.38;0.0;0.0;144.0;24.0;1.0;0.0;0.0;0.0;46.0;Tous les candidats;182.0;;;;;;;;;84.0;0.0;98.0;2.0;1_universités;27507
2020;Public;0772502B;Université Paris-Est Marne-la-Vallée devient Université Gustave Eiffel;77;Seine-et-Marne;Ile-de-France;Créteil;formation non selec;Licence;Université Paris-Est Marne-la-Vallée devient Université Gustave Eiffel - Licence - Langues étrangères appliquées - LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Allemand;Licence - Arts-lettres-langues;;Langues étrangères appliquées;LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Allemand;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=9920&g_ta_cod=9920;48.8396, 2.58651;45;283;212;283;;154;46;33;15;18;10;78;0;0;0;0;0;280;0;;;154;46;33;15;18;10;75;170;42;30;41;0;8.0;36.0;38.0;;8;36;26;5;5;6;0;19;11;5;1;12;2;3;;;32;33;19.05;85.71;90.48;71.43;88.89;91.67;;22.22;85.71;0.0;52.77777777777778;30.555555555555557;13.88888888888889;2.7777777777777777;72.22222222222221;33.33;13.88888888888889;5.56;13.88888888888889;8.33;117.0;37.0;18.0;8.0;6.0;3.0;29.0;Tous les candidats;201.0;;;;;;;;;71.0;12.0;76.0;12.0;1_universités;9920
2020;Public;0931827F;Université Paris 8;93;Seine-Saint-Denis;Ile-de-France;Créteil;formation non selec;Licence;Université Paris 8 - Licence - Mathématiques;Licence - Sciences - technologies - santé;;Mathématiques;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=17135&g_ta_cod=17135;48.9458, 2.36341;50;784;257;784;;470;147;44;21;7;5;263;0;0;0;0;0;784;0;;;470;147;44;21;7;5;263;360;53;18;50;0;13.0;30.0;39.0;;7;25;18;6;1;28;0;14;9;2;0;7;4;0;;;16;24;24.53;56.6;73.58;33.96;64.0;96.0;;28.0;47.17;0.0;56.00000000000001;36.0;8.0;0.0;72.0;28.0;24.0;16.0;4.0;0.0;237.0;71.0;13.0;6.0;5.0;4.0;105.0;Tous les candidats;390.0;;;;;;;;;50.0;4.0;72.0;23.0;1_universités;17135
2020;Public;0753488J;INALCO;75;Paris;Ile-de-France;Paris;formation non selec;Licence;INALCO - Licence - Langues, littératures & civilisations étrangères et régionales - Langues, Littératures et Civilisations Etrangères et Régionales, parcours Moyen-Orient et Maghreb - Arabe Oriental;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;Langues, Littératures et Civilisations Etrangères et Régionales, parcours Moyen-Orient et Maghreb - Arabe Oriental;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=16723&g_ta_cod=16723;48.8274, 2.37623;55;291;213;164;;75;23;9;6;1;1;79;127;22;15;8;82;164;76;;;75;23;9;6;1;1;79;210;42;33;18;24;9.0;18.0;28.0;;3;14;8;4;2;28;0;7;4;2;1;4;2;1;;;1;10;21.43;42.86;66.67;78.57;7.14;71.43;;21.43;33.33;0.0;50.0;28.57142857142857;14.285714285714285;7.142857142857142;57.14285714285714;28.57;28.57142857142857;14.29;14.285714285714285;7.14;80.0;26.0;19.0;11.0;5.0;3.0;106.0;Tous les candidats;164.0;;;;;;;;;100.0;10.0;69.0;21.0;1_universités;16723
2020;Public;0952260R;Université de Cergy-Pontoise - CY SUP;95;Val-d'oise;Ile-de-France;Versailles;formation non selec;Licence_Las;Université de Cergy-Pontoise - CY SUP - Licence - Portail BIOLOGIE ET INGENIERIE;Licence - Sciences - technologies - santé;;Sciences de la vie et de la terre;BIOLOGIE ET INGENIERIE;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=27626&g_ta_cod=27627;49.0388, 2.07414;15;1244;915;1244;;662;135;101;33;1;0;480;0;0;0;0;0;1244;0;;;662;135;101;33;1;0;480;135;15;11;15;0;0.0;7.0;11.0;;1;13;13;0;0;2;0;0;4;8;1;13;0;0;;;12;12;0.0;46.67;73.33;73.33;92.31;92.31;;7.69;86.67;0.0;0.0;30.76923076923077;61.53846153846154;7.6923076923076925;100.0;100.0;0.0;0.0;0.0;0.0;101.0;18.0;0.0;0.0;0.0;0.0;34.0;Tous les candidats;374.0;;;;;;;;;18.0;;;;1_universités;27627
2020;Public;0594366A;IUT Tourcoing Université de Lille;59;Nord;Hauts-de-France;Lille;formation selective;DUT;IUT Tourcoing Université de Lille - DUT - Carrières sociales Option gestion urbaine;DUT - Service;;Carrières sociales Option gestion urbaine;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=7115&g_ta_cod=7115;50.7247, 3.16381;32;417;258;195;;71;15;49;18;8;4;67;222;33;49;34;106;100;15;;;47;8;21;4;0;0;32;107;30;19;19;10;8.0;19.0;28.0;;4;14;11;2;1;16;0;5;5;4;0;7;1;1;;;8;8;26.67;63.33;93.33;63.33;57.14;57.14;;28.57;46.67;0.0;35.714285714285715;35.714285714285715;28.57142857142857;0.0;78.57142857142857;50.0;14.285714285714285;7.14;7.142857142857142;7.14;50.0;10.0;16.0;4.0;1.0;1.0;40.0;Tous les candidats sauf les Bac technologiques;71.0;Bacheliers technologiques toutes séries;27;;;;;;;50.0;7.0;77.0;17.0;1_universités;7115
2020;Public;0632035V;Université Clermont Auvergne;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;formation non selec;Licence;Université Clermont Auvergne - Licence - Portail Mathématiques-Physique Sciences pour l'Ingénieur-Informatique;Licence - Sciences - technologies - santé;;Mathématiques;Mathématiques-Physique Sciences pour l'Ingénieur-Informatique;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=22708&g_ta_cod=22708;45.7611, 3.11138;215;1412;275;1104;;745;110;60;21;3;1;296;308;70;13;3;222;1104;296;;;745;110;60;21;3;1;296;1211;189;36;94;93;20.0;94.0;171.0;;21;77;68;8;1;112;2;37;26;8;4;33;5;0;;;48;48;10.58;49.74;90.48;19.05;62.34;62.34;;27.27;40.74;2.5974025974025974;48.05194805194805;33.76623376623377;10.38961038961039;5.194805194805195;88.31168831168831;42.86;10.38961038961039;6.49;1.2987012987012987;0.0;727.0;107.0;43.0;18.0;3.0;2.0;438.0;Tous les candidats;1103.0;;;;;;;;;100.0;;;;1_universités;22708
