session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;ville_etab;select_form;fili;lib_comp_voe_ins;form_lib_voe_acc;lib_for_voe_ins;fil_lib_voe_acc;detail_forma;detail_forma2;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_tbf;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_tbf;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;prop_tot_bg;prop_tot_bg_brs;prop_tot_bt;prop_tot_bt_brs;prop_tot_bp;prop_tot_bp_brs;prop_tot_at;lib_grp1;ran_grp1;lib_grp2;ran_grp2;lib_grp3;ran_grp3;list_com;tri;cod_aff_form;lien_form_psup;taux_adm_psup;taux_adm_psup_gen;taux_adm_psup_techno;taux_adm_psup_pro;etablissement_id_paysage;composante_id_paysage
2021;Public;0751719L;Université Sorbonne Nouvelle Paris 3;75;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;formation non sélective;Licence;Université Sorbonne Nouvelle Paris 3 - Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Arabe - Mineure Hébreu;Licence - Arts-lettres-langues;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Arabe - Mineure Hébreu;Langues, littératures & civilisations étrangères et régionales;Arabe - Mineure Hébreu;;48.8452, 2.39666;6;20;14;15;;4;0;1;1;0;0;10;5;0;1;0;4;15;5;;;4;0;1;1;0;0;10;18;6;4;3;3;1.0;3.0;3.0;;0;1;0;1;0;5;0;1;0;0;0;0.0;0;0;0;;;0;1;16.67;50.0;50.0;66.6875;0.0;100.0;;0.0;16.69921875;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;4.0;0.0;2.0;1.0;0.0;0.0;12.0;Tous les candidats;14.0;;;;;Liste d'appel propre à cette formation;1_universités;24023;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=24023&g_ta_cod=24023;93.0;50.0;33.0;17.0;8k883;
2021;Public;0311383K;Université Toulouse 2 Jean Jaurès;31;Haute-Garonne;Occitanie;Toulouse;Toulouse;formation non sélective;Licence;Université Toulouse 2 Jean Jaurès - Licence - Tourisme - Parcours Tourisme, Hôtellerie, Alimentation (THA);Licence - Sciences humaines et sociales;Licence - Tourisme - Parcours Tourisme, Hôtellerie, Alimentation (THA);Tourisme;Tourisme, Hôtellerie, Alimentation (THA);;43.5784, 1.40266;60;583;454;583;;278;69;77;18;37;15;191;0;0;0;0;0;577;0;;;278;69;77;18;37;15;185;290;48;36;48;0;4.0;35.0;41.0;;10;29;24;3;2;19;0;11;10;8;0;0.0;14;3;1;;;15;15;8.33;72.92;85.42;75.0;51.6953125;51.6953125;;34.5;60.3984375;0.0;37.8984375;34.5;27.59765625;0.0;0.0;82.796875;48.296875;10.298828125;10.298828125;6.8994140625;3.39990234375;178.0;41.0;24.0;8.0;11.0;4.0;77.0;Tous les candidats;407.0;;;;;Liste d'appel propre à cette formation;1_universités;31754;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=31754&g_ta_cod=31754;70.0;81.0;13.0;6.0;HqAYu;
2021;Public;0632035V;Université Clermont Auvergne;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;formation non sélective;Licence;Université Clermont Auvergne - Licence - Philosophie;Licence - Sciences humaines et sociales;Licence - Philosophie;Philosophie;;;45.772, 3.09049;80;506;322;346;;218;47;25;11;8;5;95;160;28;17;4;111;346;139;;;218;47;25;11;8;5;95;485;62;37;37;25;37.0;37.0;56.0;;11;36;31;3;2;26;0;19;12;5;0;0.0;16;0;1;;;21;21;59.68;59.68;90.32;59.6953125;58.296875;58.296875;;30.59765625;58.09375;0.0;52.796875;33.296875;13.8984375;0.0;0.0;86.09375;44.3984375;8.298828125;0.0;5.599609375;2.7998046875;244.0;55.0;40.0;18.0;12.0;6.0;189.0;Tous les candidats;347.0;;;;;Liste d'appel propre à cette formation;1_universités;7641;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=7641&g_ta_cod=7641;100.0;82.0;10.0;5.0;K4lR3;
2021;Privé enseignement supérieur;9840391C;Institut Supérieur de l'Enseignement Privé de Polynésie;987;Polynésie française;Polynésie française;Polynésie Française;Papeete;formation sélective;Licence;Institut Supérieur de l'Enseignement Privé de Polynésie - Licence - Sciences sociales - Parcours gestion des ressources humaines et sciences du travail;Licence - Sciences humaines et sociales;Licence - Sciences sociales - Parcours gestion des ressources humaines et sciences du travail;Sciences sociales;gestion des ressources humaines et sciences du travail;;-17.5516, -149.558;33;161;135;135;;72;19;33;16;3;2;27;26;5;6;1;14;102;15;;;64;16;25;10;2;1;11;87;22;20;18;4;8.0;18.0;22.0;;5;17;12;4;1;5;0;6;4;6;1;0.0;7;3;1;;;17;17;36.36;81.82;100.0;90.890625;100.0;100.0;;29.3984375;77.296875;0.0;35.296875;23.5;35.296875;5.9;0.0;70.59375;41.1953125;23.5;17.59765625;5.8994140625;5.8994140625;47.0;14.0;21.0;9.0;1.0;1.0;18.0;Tous les candidats;102.0;;;;;Liste d'appel propre à cette formation;1_universités;16200;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=16200&g_ta_cod=16200;76.0;64.0;27.0;9.0;7zzqc;zy1rz
2021;Public;0541205S;I.U.T de Nancy-Brabois - Université de Lorraine;54;Meurthe-et-Moselle;Grand Est;Nancy-Metz;Villers-lès-Nancy;formation sélective;BUT;I.U.T de Nancy-Brabois - Université de Lorraine - BUT - Génie civil - Construction durable Parcours : Travaux Bâtiment - Travaux Publics - Réhabilitation et amélioration des performances environnementales des bâtiments - Bureaux d'études Conception (Seconde année possible en apprentissage);BUT - Production;BUT - Génie civil - Construction durable Parcours : Travaux Bâtiment - Travaux Publics - Réhabilitation et amélioration des performances environnementales des bâtiments - Bureaux d'études Conception (Seconde année possible en apprentissage);Génie civil - Construction durable;Travaux Bâtiment - Travaux Publics - Réhabilitation et amélioration des performances environnementales des bâtiments - Bureaux d'études Conception;;48.662, 6.15226;104;1345;241;1319;;752;85;323;66;10;5;234;26;0;17;0;9;970;4;;;626;61;201;30;0;0;143;543;109;22;106;3;14.0;82.0;101.0;;7;93;54;39;0;16;0;16;52;23;2;0.0;42;35;0;;;70;70;12.84;75.23;92.66;20.19921875;75.296875;75.296875;;7.5;85.296875;0.0;17.19921875;55.8984375;24.69921875;2.2;0.0;58.09375;45.1953125;41.8984375;37.59375;0.0;0.0;302.0;38.0;159.0;21.0;0.0;0.0;82.0;Tous les candidats sauf les Bac technologiques;553.0;Bacheliers technologiques toutes séries;218;;;Liste d'appel propre à cette formation;1_universités;6297;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=6297&g_ta_cod=6297;58.0;60.0;40.0;0.0;t6Cq5;
2021;Public;0900385E;Université de Franche-Comté - Site de Belfort;90;Territoire de Belfort;Bourgogne-Franche-Comté;Besancon;Belfort;formation non sélective;Licence;Université de Franche-Comté - Site de Belfort - Licence - Portail Physique, chimie;Licence - Sciences - technologies - santé;Licence - Portail Physique, chimie;Physique, chimie;;;47.6409, 6.86425;25;306;133;273;;208;40;3;2;2;2;60;33;3;3;1;26;269;19;;;208;40;3;2;2;2;56;195;16;5;10;6;0.0;10.0;13.0;;2;6;5;1;0;10;0;3;2;1;0;0.0;3;0;0;;;5;5;0.0;62.5;81.25;31.296875;83.296875;83.296875;;33.296875;37.5;0.0;50.0;33.296875;16.69921875;0.0;0.0;83.296875;50.0;16.69921875;0.0;0.0;0.0;134.0;30.0;3.0;1.0;0.0;0.0;58.0;Tous les candidats;306.0;;;;;Liste d'appel commune à plusieurs formations;1_universités;10834;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=32313&g_ta_cod=10834;99.0;81.0;19.0;0.0;7Mpgt;
2021;Public;9740478B;Université de La Réunion - Saint Denis;974;La Réunion;La Réunion;La Réunion;Saint-Denis;formation non sélective;Licence;Université de La Réunion - Saint Denis - Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales;Licence - Sciences - technologies - santé;Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;;-20.9017, 55.4852;40;165;58;119;;78;30;4;2;4;3;33;46;8;2;4;32;119;40;;;78;30;4;2;4;3;33;149;20;5;11;9;5.0;10.0;17.0;;4;11;9;0;2;9;0;5;3;1;2;0.0;5;0;1;;;8;8;25.0;50.0;85.0;25.0;72.6875;72.6875;;36.3984375;55.0;0.0;45.5;27.296875;9.099609375;18.2;0.0;81.796875;45.5;0.0;0.0;18.19921875;9.099609375;83.0;32.0;6.0;3.0;8.0;6.0;52.0;Tous les candidats;120.0;;;;;Liste d'appel propre à cette formation;1_universités;26392;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=26392&g_ta_cod=26392;99.0;65.0;10.0;25.0;cEt92;
2021;Public;0597065J;Université de Lille;59;Nord;Hauts-de-France;Lille;Lille;formation non sélective;Licence;Université de Lille - Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Hébreu (En enseignement à distance);Licence - Arts-lettres-langues;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Hébreu (En enseignement à distance);Langues, littératures & civilisations étrangères et régionales;Hébreu (En enseignement à distance);;50.62914, 3.12586;120;325;184;325;;175;63;16;4;6;0;128;0;0;0;0;0;325;0;;;175;63;16;4;6;0;128;203;120;71;120;0;99.0;114.0;117.0;;36;86;79;4;3;34;2;4;27;37;16;0.0;74;3;3;;;0;0;82.5;95.0;97.5;59.1953125;0.0;0.0;;41.8984375;71.6875;2.2998046875;4.69921875;31.3984375;43.0;18.6;0.0;91.890625;86.0;4.69921875;3.5;3.5;3.5;131.0;51.0;8.0;2.0;3.0;0.0;61.0;Tous les candidats;198.0;;;;;Liste d'appel propre à cette formation;1_universités;7076;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=7076&g_ta_cod=7076;61.0;93.0;4.0;3.0;Szqy5;
2021;Public;0921204J;Université Paris Nanterre;92;Hauts-de-Seine;Ile-de-France;Versailles;Nanterre;formation sélective;Licence;Université Paris Nanterre - Licence - Double diplôme - Licence Humanités - Double diplôme Licence mention Humanités [Humanités et sciences humaines] - Diplôme d'université (DU) Cultures, langues et rhétorique 1;Licence - Arts-lettres-langues;Licence - Double diplôme - Licence Humanités - Double diplôme Licence mention Humanités [Humanités et sciences humaines] - Diplôme d'université (DU) Cultures, langues et rhétorique 1;Humanités;Double diplôme Licence mention Humanités [Humanités et sciences humaines] - Diplôme d'université (DU) Cultures, langues et rhétorique 1;;48.9035, 2.21449;60;818;586;449;;311;40;12;3;1;0;125;369;125;30;6;208;408;46;;;307;38;3;1;0;0;98;369;58;35;39;19;3.0;39.0;50.0;;1;33;32;1;0;25;2;8;13;7;3;0.0;23;0;0;;;14;26;5.17;67.24;86.21;60.296875;42.3984375;78.796875;;3.0;56.8984375;6.099609375;24.19921875;39.3984375;21.19921875;9.1;0.0;97.0;69.6875;3.0;0.0;0.0;0.0;271.0;33.0;1.0;1.0;0.0;0.0;97.0;Tous les candidats;408.0;;;;;Liste d'appel propre à cette formation;1_universités;29410;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=29410&g_ta_cod=29410;91.0;97.0;3.0;0.0;g6rwB;
2021;Public;0941111X;Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);94;Val-de-Marne;Ile-de-France;Créteil;Créteil;formation sélective;Licence;Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) - Double licence - Histoire / Géographie et aménagement - Histoire - Géographie et aménagement;Licence - Sciences humaines et sociales;Double licence - Histoire / Géographie et aménagement - Histoire - Géographie et aménagement;Histoire;Histoire - Géographie et aménagement;;48.7885, 2.44418;33;407;156;178;;132;14;9;3;1;0;36;229;80;11;10;128;127;35;;;110;9;1;1;0;0;16;137;21;9;16;5;7.0;16.0;18.0;;2;18;18;0;0;3;0;2;12;3;0;1.0;16;0;0;;;13;15;33.33;76.19;85.71;42.8984375;72.1875;83.296875;;11.099609375;85.6875;0.0;11.099609375;66.6875;16.69921875;0.0;5.6;100.0;88.890625;0.0;0.0;0.0;0.0;107.0;10.0;1.0;1.0;0.0;0.0;29.0;Tous les candidats;126.0;;;;;Liste d'appel propre à cette formation;1_universités;11507;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=11507&g_ta_cod=11507;71.0;100.0;0.0;0.0;vb71K;
