session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;ville_etab;lib_for_voe_ins;select_form;fili;lib_comp_voe_ins;form_lib_voe_acc;fil_lib_voe_acc;detail_forma;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_tbf;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_tbf;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;prop_tot_bg;prop_tot_bg_brs;prop_tot_bt;prop_tot_bt_brs;prop_tot_bp;prop_tot_bp_brs;prop_tot_at;lib_grp1;ran_grp1;lib_grp2;ran_grp2;lib_grp3;ran_grp3;list_com;tri;cod_aff_form;detail_forma2;lien_form_psup;taux_acces_ens;part_acces_gen;part_acces_tec;part_acces_pro;etablissement_id_paysage;composante_id_paysage
2023;Privé enseignement supérieur;0561687E;Facultés libres de l'ouest - UCO - Bretagne Sud;56;Morbihan;Bretagne;Rennes;Arradon;Licence - Sciences de l'éducation;formation non sélective;Licence;Facultés libres de l'ouest - UCO - Bretagne Sud - Licence - Sciences de l'éducation;Licence - Sciences humaines et sociales;Sciences de l'éducation;;47.6477, -2.80567;84;478;432;429;;255;27;69;9;5;1;100;49;10;4;1;34;429;40;;;255;27;69;9;5;1;100;399;82;74;74;8;53.0;77.0;77.0;;4;54;43;9;2;28;0;14;29;10;1;0.0;32;6;2;;;48;48;65.0;94.0;94.0;90.0;89.0;89.0;0.0;7.0;66.0;0.0;26.0;54.0;19.0;2.0;0.0;80.0;59.0;17.0;11.0;4.0;4.0;236.0;26.0;53.0;8.0;3.0;2.0;107.0;Tous les candidats;429.0;;;;;Liste d'appel propre à cette formation;1_universités;6492;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=6492;100.0;74.0;23.0;3.0;7zzqc;B8z9z
2023;Public;0840685N;Avignon Université;84;Vaucluse;Provence Alpes Côte d'Azur;Aix-Marseille;Avignon;Licence - Portail Sciences de la vie et de la terre;formation non sélective;Licence_Las;Avignon Université - Licence - Portail Sciences de la vie et de la terre;Licence - Sciences - technologies - santé;Sciences de la vie et de la terre;;43.9499, 4.81762;20;862;570;862;;692;186;43;11;9;6;118;0;0;0;0;0;862;0;;;692;186;43;11;9;6;118;124;20;17;20;0;0.0;18.0;18.0;;6;19;19;0;0;1;0;1;8;9;1;0.0;18;0;0;;;13;13;0.0;90.0;90.0;85.0;68.0;68.0;0.0;32.0;95.0;0.0;5.0;42.0;47.0;5.0;0.0;100.0;95.0;0.0;0.0;0.0;0.0;111.0;29.0;0.0;0.0;0.0;0.0;13.0;Tous les candidats;597.0;;;;;Liste d'appel commune à plusieurs formations;1_universités;31749;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=31749;35.0;99.0;1.0;0.0;vxHYt;
2023;Public;0381516S;IUT 1 GRENOBLE;38;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;formation sélective;BUT;IUT 1 GRENOBLE - BUT - Métiers de la Transition et de l'Efficacité Énergétiques;BUT - Production;Métiers de la Transition et de l'Efficacité Énergétiques;;45.1853, 5.7253;122;1039;154;981;;501;46;292;39;6;1;182;58;12;11;1;34;843;8;;;480;43;231;28;0;0;132;758;93;6;90;3;43.0;92.0;92.0;;4;83;51;32;0;10;0;27;40;14;2;0.0;29;27;0;;;63;63;46.0;99.0;99.0;6.0;76.0;76.0;0.0;5.0;89.0;0.0;33.0;48.0;17.0;2.0;0.0;61.0;35.0;39.0;33.0;0.0;0.0;422.0;41.0;225.0;27.0;0.0;0.0;111.0;Autres candidats;588.0;Bacheliers technologiques toutes series;254.0;;;Liste d'appel propre à cette formation;1_universités;4968;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4968;87.0;70.0;30.0;0.0;Y7ch7;
2023;Public;0673021V;Université de Strasbourg;67;Bas-Rhin;Grand Est;Strasbourg;Strasbourg;Licence - Psychologie;formation non sélective;Licence;Université de Strasbourg - Licence - Psychologie;Licence - Sciences humaines et sociales;Psychologie;;48.5847, 7.76478;555;5622;4703;5622;;2906;663;464;170;165;77;2087;0;0;0;0;0;5621;0;;;2906;663;463;169;165;77;2087;2000;549;478;549;0;80.0;455.0;461.0;;92;334;294;34;6;215;4;70;138;86;33;3.0;232;24;4;;;295;295;15.0;83.0;84.0;87.0;88.0;88.0;0.0;28.0;61.0;1.0;21.0;41.0;26.0;10.0;1.0;88.0;69.0;10.0;7.0;2.0;1.0;1115.0;273.0;87.0;54.0;16.0;15.0;782.0;Tous les candidats;3064.0;;;;;Liste d'appel propre à cette formation;1_universités;8071;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=8071;43.0;93.0;6.0;1.0;4k25D;
2023;Public;0333298F;Université de Bordeaux - Bordeaux Métropole;33;Gironde;Nouvelle-Aquitaine;Bordeaux;Talence;Licence - Administration économique et sociale;formation non sélective;Licence;Université de Bordeaux - Bordeaux Métropole - Licence - Administration économique et sociale;Licence - Droit-économie-gestion;Administration économique et sociale;;44.797, -0.61802;565;4373;2546;4148;;2764;516;523;172;63;34;798;225;49;26;8;142;4049;121;;;2763;516;522;172;63;34;701;2771;530;273;465;65;36.0;453.0;459.0;;98;398;340;51;7;132;2;217;120;53;6;0.0;162;16;1;;;316;316;7.0;85.0;87.0;52.0;79.0;79.0;0.0;25.0;75.0;1.0;55.0;30.0;13.0;2.0;0.0;85.0;41.0;13.0;4.0;2.0;0.0;2003.0;371.0;211.0;87.0;26.0;17.0;531.0;Tous les candidats;4367.0;;;;;Liste d'appel commune à plusieurs formations;1_universités;4461;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4461;96.0;82.0;16.0;3.0;90I54;
2023;Public;0931827F;Université Paris 8;93;Seine-Saint-Denis;Ile-de-France;Créteil;Saint-Denis;Licence - Langues étrangères appliquées - Parcours Allemand / Espagnol;formation non sélective;Licence;Université Paris 8 - Licence - Langues étrangères appliquées - Parcours Allemand / Espagnol;Licence - Arts-lettres-langues;Langues étrangères appliquées;Allemand / Espagnol;48.9458, 2.36341;25;81;51;0;;0;0;0;0;0;0;0;81;9;8;11;53;0;47;;;0;0;0;0;0;0;0;47;15;8;0;15;0.0;3.0;5.0;;1;3;0;2;1;12;0;3;0;0;0;0.0;0;0;0;;;1;3;0.0;20.0;33.0;53.0;33.0;100.0;0.0;33.0;20.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;0.0;33.0;0.0;6.0;3.0;5.0;2.0;9.0;4.0;27.0;;;;;;;Liste d'appel propre à cette formation;1_universités;28186;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=28186;;0.0;0.0;0.0;Uxr7Z;
2023;Public;0753488J;INALCO;75;Paris;Ile-de-France;Paris;Paris;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Langues, Littératures et Civilisations,  parcours Asie du Sud-Est et Pacifique - Khmer;formation non sélective;Licence;INALCO - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Langues, Littératures et Civilisations,  parcours Asie du Sud-Est et Pacifique - Khmer;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Langues, Littératures et Civilisations,  parcours Asie du Sud-Est et Pacifique - Khmer;48.8274, 2.37623;30;126;79;81;;29;6;8;5;6;3;38;45;9;5;1;30;81;18;;;29;6;8;5;6;3;38;86;20;12;13;7;6.0;14.0;14.0;;0;5;5;0;0;15;0;2;2;1;0;0.0;3;0;0;;;0;3;30.0;70.0;70.0;60.0;0.0;60.0;0.0;0.0;25.0;0.0;40.0;40.0;20.0;0.0;0.0;100.0;60.0;0.0;0.0;0.0;0.0;32.0;6.0;7.0;4.0;5.0;2.0;42.0;Tous les candidats;81.0;;;;;Liste d'appel propre à cette formation;1_universités;9399;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=9399;100.0;68.0;19.0;13.0;Dk1Th;
2023;Public;0542493S;Université de Lorraine - Site de Nancy;54;Meurthe-et-Moselle;Grand Est;Nancy-Metz;Nancy;Licence - Portail Economie;formation non sélective;Licence;Université de Lorraine - Site de Nancy - Licence - Portail Economie;Licence - Droit-économie-gestion;Economie;;48.69392, 6.17531;230;1925;857;1736;;1225;241;141;59;20;9;350;189;32;14;9;134;1713;155;;;1225;241;141;59;20;9;327;1354;177;59;132;44;11.0;160.0;162.0;;24;118;100;12;6;59;0;64;30;20;4;0.0;47;5;2;;;101;101;6.0;90.0;92.0;33.0;86.0;86.0;0.0;20.0;67.0;0.0;54.0;25.0;17.0;3.0;0.0;85.0;40.0;10.0;4.0;5.0;2.0;887.0;172.0;103.0;39.0;21.0;11.0;343.0;Tous les candidats;1866.0;;;;;Liste d'appel commune à plusieurs formations;1_universités;35071;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35071;99.0;87.0;10.0;2.0;t6Cq5;
2023;Public;0597065J;Université de Lille;59;Nord;Hauts-de-France;Lille;Lille;Licence - Langues étrangères appliquées - Parcours Anglais néerlandais appliqués aux affaires;formation non sélective;Licence;Université de Lille - Licence - Langues étrangères appliquées - Parcours Anglais néerlandais appliqués aux affaires;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais néerlandais appliqués aux affaires;50.6969, 3.16526;55;161;103;107;;52;18;10;6;3;3;42;54;8;6;5;35;107;35;;;52;18;10;6;3;3;42;140;28;21;18;10;14.0;24.0;25.0;;3;12;9;3;0;16;0;4;6;2;0;0.0;7;1;0;;;8;8;50.0;86.0;89.0;75.0;67.0;67.0;0.0;25.0;43.0;0.0;33.0;50.0;17.0;0.0;0.0;75.0;58.0;25.0;8.0;0.0;0.0;56.0;20.0;15.0;8.0;6.0;5.0;63.0;Tous les candidats;106.0;;;;;Liste d'appel propre à cette formation;1_universités;15723;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=15723;99.0;83.0;12.0;5.0;U8a0v;
2023;Public;0251215K;Université de Franche-Comté - Site de Besançon;25;Doubs;Bourgogne-Franche-Comté;Besancon;Besançon;Licence - Arts du spectacle;formation non sélective;Licence;Université de Franche-Comté - Site de Besançon - Licence - Arts du spectacle;Licence - Arts-lettres-langues;Arts du spectacle;;47.2405, 6.02271;60;316;233;312;;217;59;14;4;16;5;65;4;0;0;0;4;312;3;;;217;59;14;4;16;5;65;234;58;42;57;1;7.0;56.0;56.0;;12;42;40;1;1;16;0;15;16;10;1;0.0;27;0;0;;;21;21;12.0;97.0;97.0;72.0;50.0;50.0;0.0;29.0;72.0;0.0;36.0;38.0;24.0;2.0;0.0;95.0;64.0;2.0;0.0;2.0;0.0;172.0;47.0;5.0;2.0;9.0;1.0;48.0;Tous les candidats;312.0;;;;;Liste d'appel propre à cette formation;1_universités;3549;;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=3549;96.0;89.0;6.0;4.0;7Mpgt;
