code NSF;code scolarité;sigle type formation;libellé type formation;libellé formation principal;sigle formation;durée;niveau de sortie indicatif;code RNCP;niveau de certification;libellé niveau de certification;tutelle;URL et ID Onisep;domaine/sous-domaine;date création;date de modification
314;46E31401;;formation d'école spécialisée;assistant de comptabilité et d'administration en PME/TPE;;1 an;bac ou équivalent;38506;4;niveau 4;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.9720;gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | gestion des entreprises, comptabilité/secrétariat;25/01/2024;22/04/2024
201;25020150;;licence professionnelle;licence pro mention métiers de l'industrie : conception et amélioration de processus et procédés industriels;;1 an;bac + 3;40815;2;niveau 6;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.11574;matières premières, fabrication, industries/génie industriel;27/06/2025;20/10/2025
326;;mastère spé.;mastère spécialisé;mastère spé. manager en ingénierie numérique de produits et de bâtiments;INGENUM;1 an;bac + 6;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.3994;électricité, électronique, robotique/électrotechnique | construction, architecture, travaux publics/équipement technique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel;06/06/2020;17/05/2024
313;;;formation d'école spécialisée;diplôme de finance;;3 ans;bac + 3;41197;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12221;gestion des entreprises, comptabilité/administration de l'entreprise | banque, assurances, immobilier/finances;28/11/2025;28/11/2025
240 | 242 | 312;13524001;;master;master mention mode;;2 ans;bac + 5;39198;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10459;arts, culture, artisanat/arts graphiques | matières premières, fabrication, industries/textile, habillement;30/08/2024;18/06/2025
;;CPI;cycle préparatoire intégré;cycle préparatoire intégré de JUNIA HEI (associé avec le Lycée La Salle de Lille) - prépa associée PCSI-PC;JUNIA HEI;2 ans;bac + 2;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.10554;sciences/chimie | matières premières, fabrication, industries/génie industriel | sciences/physique;01/10/2024;26/09/2025
310;1353103T;;master;master mention innovation, entreprise et société;;2 ans;bac + 5;41077;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.11881;gestion des entreprises, comptabilité/administration de l'entreprise | matières premières, fabrication, industries/fonction production (généralités) | histoire-géographie, psychologie, sociologie/sciences humaines et sociales (généralités);23/09/2025;23/09/2025
110;;CPI;cycle préparatoire intégré;cursus préparatoire ingénieur intégré Sup Galilée - filière technologique;Sup Galilée;3 ans;bac + 3;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12731;environnement, énergies, propreté/énergies | informatique, Internet/informatique (généralités) | électricité, électronique, robotique/télécommunications;18/06/2026;18/06/2026
128;;;formation d'école spécialisée;sciences sociales et économiques spécialité géopolitique et sécurité internationale;;2 ans;bac + 5;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.5508;économie, droit, politique/sciences politiques | armée, sécurité/sécurité, prévention;06/06/2020;02/07/2024
311;56T31105;TP;titre professionnel;TP cariste d'entrepôt;;1 an;CAP ou équivalent;40499;5;niveau 3;Ministère du travail, de l'emploi et du dialogue social;https://www.onisep.fr/http/redirection/formation/slug/FOR.11779;mécanique/automatismes | logistique, transport/logistique;28/08/2025;16/12/2025
330;56T33001;TP;titre professionnel;TP assistant de vie aux familles;;1 an;CAP ou équivalent;37715;5;niveau 3;Ministère du travail, de l'emploi et du dialogue social;https://www.onisep.fr/http/redirection/formation/slug/FOR.9232;santé, social, sport/paramédical | santé, social, sport/travail social;02/10/2023;05/11/2025
340;;FCIL;formation complémentaire d'initiative locale;FCIL préparation aux concours administratifs catégorie C et compléments de formation aux métiers administratifs;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.3463;économie, droit, politique/sciences politiques | gestion des entreprises, comptabilité/secrétariat;06/06/2020;02/05/2024
324;;FCIL;formation complémentaire d'initiative locale;FCIL assistant secrétaire administratif dans les collectivités territoriales;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.11573;économie, droit, politique/sciences politiques | gestion des entreprises, comptabilité/secrétariat;26/06/2025;26/06/2025
326;16X32677;;formation d'école spécialisée;consultant en assistance à maîtrise d'ouvrage informatique;AMOA;2 ans;bac + 5;41879;1;niveau 7;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12478;informatique, Internet/développement, programmation, logiciel | informatique, Internet/systèmes et réseaux;24/02/2026;18/05/2026
;;;licence;licence mention chimie, sciences de la vie;;3 ans;bac + 3;;2;niveau 6;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.6873;sciences/biologie | sciences/chimie;05/02/2021;12/03/2026
