libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine;date création;date de modification
accompagnant / accompagnante d'élèves en situation de handicap;https://www.onisep.fr/http/redirection/metier/slug/MET.7829;Travailler auprès des enfants;Parcours;2023;9782273016780;GFE R : santé, social, soins personnels;K2104;Éducation et surveillance au sein d'établissements d'enseignement;https://candidat.francetravail.fr/metierscope/fiche-metier/K2104;santé, social, sport/travail social;23/05/2023;26/01/2026
administrateur / administratrice de base de données;https://www.onisep.fr/http/redirection/metier/slug/MET.14;Les métiers du numérique;Parcours;2025;9782273017060;GFE P : Gestion et traitement de l'information (informatique, statistique, documentation);M1801;Administration de systèmes d'information;https://candidat.francetravail.fr/metierscope/fiche-metier/M1801;informatique, Internet/bases de données| informatique, Internet/informatique (généralités)| matières premières, fabrication, industries/maintenance, qualité;06/06/2020;16/04/2026
agenceur / agenceuse de cuisines et salles de bains;https://www.onisep.fr/http/redirection/metier/slug/MET.405;Les métiers du bâtiment et des travaux publics;Parcours;2023;9782273016445;GFE C : bâtiment;H2206;Réalisation de menuiserie bois et tonnellerie;https://candidat.francetravail.fr/metierscope/fiche-metier/H2206;construction, architecture, travaux publics/agencement| construction, architecture, travaux publics/ameublement| matières premières, fabrication, industries/bois| construction, architecture, travaux publics/menuiserie;06/06/2020;04/06/2026
agent / agente de sécurité;https://www.onisep.fr/http/redirection/metier/slug/MET.347;Les métiers des grands événements culturels et sportifs;Zoom sur les métiers;2023;9782273016742;GFE T : environnement, nettoyage, sécurité;K2503;Sécurité et surveillance privées;https://candidat.francetravail.fr/metierscope/fiche-metier/K2503;armée, sécurité/sécurité, prévention;06/06/2020;28/05/2026
aide-chimiste;https://www.onisep.fr/http/redirection/metier/slug/MET.952;Les métiers de l'industrie du papier carton;Zoom sur les métiers;2025;9782273017244;GFE J : transformation des matériaux, procédés (biologie, chimie, physique);H1503;Intervention technique en laboratoire d'analyse industrielle;https://candidat.francetravail.fr/metierscope/fiche-metier/H1503;sciences/chimie;06/06/2020;22/05/2026
animateur / animatrice de tourisme;https://www.onisep.fr/http/redirection/metier/slug/MET.803;Les métiers du sport;Parcours;2024;9782273016988;GFE S : hôtellerie,  tourisme, loisirs;G1202;Animation d'activités culturelles ou ludiques;https://candidat.francetravail.fr/metierscope/fiche-metier/G1202;hôtellerie-restauration, tourisme/tourisme;06/06/2020;01/06/2026
architecte big data (mégadonnées);https://www.onisep.fr/http/redirection/metier/slug/MET.848;;pas de publication Onisep spécifique;;;GFE P : Gestion et traitement de l'information (informatique, statistique, documentation);M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;https://candidat.francetravail.fr/metierscope/fiche-metier/M1806;informatique, Internet/bases de données| sciences/mathématiques| informatique, Internet/systèmes et réseaux;06/06/2020;26/06/2026
assistant / assistante de régulation médicale;https://www.onisep.fr/http/redirection/metier/slug/MET.8183;;pas de publication Onisep spécifique;;;GFE R : santé, social, soins personnels;;;;santé, social, sport/paramédical;28/07/2025;28/02/2026
attaché / attachée de presse;https://www.onisep.fr/http/redirection/metier/slug/MET.879;Les métiers des grands événements culturels et sportifs;Zoom sur les métiers;2023;9782273016742;GFE U : communication, médias;E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;information-communication, audiovisuel/communication;06/06/2020;03/06/2026
batelier / batelière;https://www.onisep.fr/http/redirection/metier/slug/MET.577;Les métiers du transport et de la logistique;Parcours;2024;9782273016926;GFE O : transport, logistique;N3103;Navigation fluviale;https://candidat.francetravail.fr/metierscope/fiche-metier/N3103;logistique, transport/transport;06/06/2020;03/06/2026
brancardier / brancardière;https://www.onisep.fr/http/redirection/metier/slug/MET.635;Les métiers du paramédical;Parcours;2022;9782273016117;GFE R : santé, social, soins personnels;J1301;Personnel polyvalent des services hospitaliers;https://candidat.francetravail.fr/metierscope/fiche-metier/J1301;santé, social, sport/travail social;06/06/2020;22/05/2026
céréalier / céréalière;https://www.onisep.fr/http/redirection/metier/slug/MET.8073;Agriculture et forêt;Parcours;2024;9782273016841;GFE A : agriculture;A1416;Polyculture, élevage;https://candidat.francetravail.fr/metierscope/fiche-metier/A1416;agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures;17/02/2025;06/05/2026
chargé / chargée de pharmacovigilance;https://www.onisep.fr/http/redirection/metier/slug/MET.215;Les métiers du médical;Parcours;2021;9782273015813;GFE J : transformation des matériaux, procédés (biologie, chimie, physique);H1502;Management et ingénierie qualité industrielle;https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;santé, social, sport/médical;06/06/2020;26/05/2026
