code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
;82422814200264;centre de formation d'apprentis;AFPA Alençon;;public;Ministère du travail, de l'emploi et du dialogue social;;;;;;181 avenue du Général Leclerc;61000;Alençon;61001;;09 72 72 39 36;;Orne;Normandie;Normandie;28;0.0894098;48.411631;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24671;30/08/2024;03/03/2025
0570279U;77995455100015;lycée professionnel;Annexe du lycée professionnel La Providence de Dieuze;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Annexe du lycée professionnel La Providence de Dieuze à Metz (57) | Lycée professionnel La Providence à Dieuze (57);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18048 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11626;;10 rue de l'Abbé Heydel;57800;Freyming-Merlebach;57240;;03 87 86 04 86;;Moselle;Nancy-Metz;Grand Est;44;6.8151166;49.1466703;;Allemand, Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18564;06/06/2020;05/03/2026
0332882D;77566202601256;centre de formation d'apprentis;CFA des Compagnons du Devoir Nouvelle-Aquitaine;;privé;Ministère chargé des Entreprises et du commerce;;;CFA des Compagnons du Devoir Nouvelle-Aquitaine à Poitiers (86) | CFA des Compagnons du Devoir Nouvelle-Aquitaine à Chancelade (24) | CFA des Compagnons du Devoir Nouvelle-Aquitaine à La Rochelle (17);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2068 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3194 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9731;;56 avenue de la Jallère;33000;Bordeaux;33063;;05 56 52 69 19;;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.5540253;44.895887;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18222;06/06/2020;09/06/2026
0442789T;53948741300038;centre de formation d'apprentis;CFA Henriman formation;;privé;;;;;;CS 13974;18 rue de la Rainière;44339;Nantes;44109;Cedex 3;02 28 23 79 85;;Loire-Atlantique;Nantes;Pays de la Loire;52;-1.5081367;47.2477695;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22670;21/04/2022;14/04/2026
9710988X;31458560500038;collège;Cité scolaire La Persévérance - Collège;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Cité scolaire La Persévérance - Lycée à Les Abymes (971);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6435;BP 493;Route Boissard;97183;Les Abymes;97101;Cedex;05 90 82 15 89;;Guadeloupe;Guadeloupe;Guadeloupe;01;-61.526640565044;16.2449349182;;Anglais, Espagnol, Langue des signes française;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5880;06/06/2020;06/01/2026
0870117E;19870117900014;collège;Collège Albert Calmette;;public;Ministère chargé de l'Éducation nationale;;;;;;Allée Largilliére;87000;Limoges;87085;;05 55 01 53 49;;Haute-Vienne;Limoges;Nouvelle-Aquitaine;75;1.22454;45.8289;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15060;06/06/2020;24/02/2026
0631412T;19631412400013;collège;Collège Antoine de Saint-Exupéry;;public;Ministère chargé de l'Éducation nationale;;;;;BP 7;Rue des Gargailles;63370;Lempdes;63193;;04 73 61 59 00;;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3.18727;45.7707;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Portugais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4433;06/06/2020;07/01/2022
0441934N;44448751600015;collège;Collège Chavagnes;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;11 rue Mondesir;44015;Nantes;44109;Cedex 01;02 51 84 91 30;;Loire-Atlantique;Nantes;Pays de la Loire;52;-1.5699;47.2176;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1710;06/06/2020;27/09/2024
0642056M;49218219100022;autre établissement d'enseignement;Académie Basque du Sport;ABS;privé hors contrat;;;;;;;Parc des sports Aguilera, Euskal Jaï;64200;Biarritz;64122;;05 59 01 00 73;;Pyrénées-Atlantiques;Bordeaux;Nouvelle-Aquitaine;75;-1.53656;43.483;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18886;06/06/2020;15/06/2026
9710062R;;lycée général, technologique ou polyvalent;Cité scolaire La Persévérance - Lycée;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Cité scolaire La Persévérance - Collège à Les Abymes (971);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5880;BP 493;Boissard;97142;Les Abymes;97101;;05 90 82 15 89;;Guadeloupe;Guadeloupe;Guadeloupe;01;-61.504555;16.277136;;Anglais, Créole, Espagnol, Langue des signes française;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6435;06/06/2020;25/02/2025
