Id_Fiche;Numero_Fiche;Intitule;Abrege_Libelle;Abrege_Intitule;Nomenclature_Europe_Niveau;Nomenclature_Europe_Intitule;Accessible_Nouvelle_Caledonie;Accessible_Polynesie_Francaise;Date_dernier_jo;Date_Decision;Date_Fin_Enregistrement;Date_Effet;Type_Enregistrement;Validation_Partielle;Actif
9523;RNCP181;Assistant(e) en comptabilité et gestion;TP;Titre professionnel;NIV4;Niveau 4;Non;Non;19/07/2003;;;;Enregistrement de droit;;INACTIVE
14922;RNCP317;Solier moquettiste;TP;Titre professionnel;NIV3;Niveau 3;Non;Non;11/05/2017;;18/08/2022;18/08/2017;Enregistrement de droit;;INACTIVE
5429;RNCP436;Constructeur (trice) en béton armé;TP;Titre professionnel;NIV3;Niveau 3;Non;Non;08/11/2003;;;;Enregistrement de droit;;INACTIVE
5625;RNCP619;Métiers du football;CAP;Certificat d'aptitude professionnelle;NIV3;Niveau 3;Non;Non;;;31/08/2024;;Enregistrement de droit;;INACTIVE
5581;RNCP785;Mise oeuvre des matériaux option Matériaux métalliques moulés;BAC PRO;Baccalauréat professionnel;NIV4;Niveau 4;Non;Non;;;;;Enregistrement de droit;;INACTIVE
5514;RNCP913;Technicien en facture instrumentale option pianos;BMA;Brevet des métiers d'art;NIV4;Niveau 4;Non;Non;;;31/08/2022;;Enregistrement de droit;;INACTIVE
5456;RNCP1063;Hôtellerie restauration option B : art culinaire, art de la table et du service;BTS;Brevet de technicien supérieur;NIV5;Niveau 5;Non;Non;;;31/08/2019;;Enregistrement de droit;;INACTIVE
265;RNCP1205;Designer industriel;;;NIV6;Niveau 6;Non;Non;31/01/2006;;31/01/2008;;Enregistrement sur demande;;INACTIVE
448;RNCP1322;Certificat de gestion et management stratégique (Fiche incomplète);;;NIV7;Niveau 7;Non;Non;12/10/2002;;31/12/2005;;Enregistrement sur demande;;INACTIVE
44;RNCP1427;Formateur;;;NIV5;Niveau 5;Non;Non;05/03/2006;;05/03/2011;;Enregistrement sur demande;;INACTIVE
750;RNCP1535;Concepteur et réalisateur multimédia et internet (projet offline/online);;;NIV6;Niveau 6;Non;Non;27/03/2003;;31/12/2006;;Enregistrement sur demande;;INACTIVE
1449;RNCP1648;Concepteur en électronique des systèmes;;;NIV6;Niveau 6;Non;Non;27/03/2004;;31/12/2006;;Enregistrement sur demande;;INACTIVE
269;RNCP1757;Employé(e) familial(e) polyvalent(e);;;NIV3;Niveau 3;Non;Non;15/03/2005;;15/03/2010;;Enregistrement sur demande;;INACTIVE
5850;RNCP1864;Soudeur (se) à l’arc semi-automatique;TP;Titre professionnel;NIV3;Niveau 3;Non;Non;11/07/2009;;18/05/2010;;Enregistrement de droit;;INACTIVE
10216;RNCP1979;Ingénieur diplômé de l’Institut supérieur d’agriculture de Lille (ISA);Titre ingénieur;Titre ingénieur;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
1918;RNCP2099;Technicien en entretien de cours d'eau;;;NIV4;Niveau 4;Non;Non;12/05/2011;;12/05/2013;;Enregistrement sur demande;;INACTIVE
1538;RNCP2209;MBA de management du développement local (fiche incomplète);;;NIV7;Niveau 7;Non;Non;12/10/2002;;31/12/2005;;Enregistrement sur demande;;INACTIVE
310;RNCP2316;Technicien supérieur de maintenance armement;;;NIV5;Niveau 5;Non;Non;10/10/2004;;10/10/2009;;Enregistrement sur demande;;INACTIVE
