Numero_Fiche;Codes_Rome_Code;Codes_Rome_Libelle
RNCP181;M1203;Comptabilité
RNCP361;K1802;Développement local
RNCP560;E1204;Projection cinéma
RNCP822;B1805;Stylisme
RNCP1028;M1604;Assistanat de direction
RNCP1221;H1503;Intervention technique en laboratoire d''analyse industrielle
RNCP1395;A1303;Ingénierie en agriculture et environnement naturel
RNCP1599;M1102;Direction des achats
RNCP1885;D1212;Vente en décoration et équipement du foyer
RNCP2266;A1407;Élevage bovin ou équin
RNCP2514;K1403;Management de structure de santé, sociale ou pénitentiaire
RNCP2894;K1205;Information sociale
RNCP3193;M1102;Direction des achats
RNCP3312;M1705;Marketing
RNCP3435;H1502;Management et ingénierie qualité industrielle
RNCP3549;H1206;Management et ingénierie études, recherche et développement industriel
RNCP3676;H1404;Intervention technique en méthodes et industrialisation
RNCP3796;F1201;Conduite de travaux du BTP et de travaux paysagers
RNCP3921;K1802;Développement local
RNCP4049;D1406;Management en force de vente
RNCP4180;H1502;Management et ingénierie qualité industrielle
RNCP4268;I1102;Management et ingénierie de maintenance industrielle
RNCP4375;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
RNCP4498;I1302;Installation et maintenance d''automatismes
RNCP4595;H1402;Management et ingénierie méthodes et industrialisation
RNCP4713;H1502;Management et ingénierie qualité industrielle
RNCP4807;I1309;Maintenance électrique
RNCP4927;C1503;Management de projet immobilier
RNCP5077;H2207;Réalisation de meubles en bois
RNCP5232;D1407;Relation technico-commerciale
RNCP5346;I1401;Maintenance informatique et bureautique
RNCP5468;I1305;Installation et maintenance électronique
RNCP5638;B1806;Tapisserie - décoration en ameublement
RNCP5830;M1803;Direction des systèmes d''information
RNCP5989;K1205;Information sociale
RNCP6129;K2112;Orientation scolaire et professionnelle
RNCP6310;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
RNCP6455;D1406;Management en force de vente
RNCP6605;H1504;Intervention technique en contrôle essai qualité en électricité et électronique
RNCP6829;K1104;Psychologie
RNCP6983;M1503;Management des ressources humaines
RNCP7088;I1401;Maintenance informatique et bureautique
RNCP7237;H1402;Management et ingénierie méthodes et industrialisation
RNCP7414;M1607;Secrétariat
RNCP7556;J1507;Soins infirmiers spécialisés en puériculture
RNCP7632;K2107;Enseignement général du second degré
RNCP9041;K2107;Enseignement général du second degré
RNCP9255;K2401;Recherche en sciences de l''homme et de la société
RNCP9433;M1705;Marketing
RNCP9673;D1405;Conseil en information médicale
RNCP9873;M1707;Stratégie commerciale
RNCP10000;K2107;Enseignement général du second degré
RNCP10127;M1503;Management des ressources humaines
RNCP10255;H2907;Conduite d''installation de production des métaux
RNCP10340;E1103;Communication
RNCP10450;I1401;Maintenance informatique et bureautique
